ID,ECFP_L1,ECFP_L2,COAF_L1,COAF_L2
0,CC(C)CC(NC(Cc1ccccc1)C(O)=O)=O,CC(C)CC(NCCc1ccccc1)=O,CC(C)CC(NC(Cc1ccccc1)C([Hg])=O)=O,CC(C)CC(N(CCc1ccccc1)[Hg])=O
1,CC/C=C\CC(NC(Cc1ccccc1)C(O)=O)=O,CC/C=C\CC(NCCc1ccccc1)=O,CC/C=C\CC(NC(Cc1ccccc1)C([Hg])=O)=O,CC/C=C\CC(N(CCc1ccccc1)[Hg])=O
2,CCC(C)CC(NC(Cc1ccccc1)C(O)=O)=O,CCC(C)CC(NCCc1ccccc1)=O,CCC(C)CC(NC(Cc1ccccc1)C([Hg])=O)=O,CCC(C)CC(N(CCc1ccccc1)[Hg])=O
3,CC(C)CCC(NC(Cc1ccccc1)C(O)=O)=O,CC(C)CCC(NCCc1ccccc1)=O,CC(C)CCC(NC(Cc1ccccc1)C([Hg])=O)=O,CC(C)CCC(N(CCc1ccccc1)[Hg])=O
4,OC(C(Cc1ccccc1)NC(CC1CCCC1)=O)=O,O=C(CC1CCCC1)NCCc1ccccc1,O=C(CC1CCCC1)NC(Cc1ccccc1)C([Hg])=O,O=C(CC1CCCC1)N(CCc1ccccc1)[Hg]
5,OC(C(Cc1ccccc1)NC(CCC1CCCC1)=O)=O,O=C(CCC1CCCC1)NCCc1ccccc1,O=C(CCC1CCCC1)NC(Cc1ccccc1)C([Hg])=O,O=C(CCC1CCCC1)N(CCc1ccccc1)[Hg]
6,OC(C(Cc1ccccc1)NC(CC1CCCCC1)=O)=O,O=C(CC1CCCCC1)NCCc1ccccc1,O=C(CC1CCCCC1)NC(Cc1ccccc1)C([Hg])=O,O=C(CC1CCCCC1)N(CCc1ccccc1)[Hg]
7,CC(C)(C)CC(NC(Cc1ccccc1)C(O)=O)=O,CC(C)(C)CC(NCCc1ccccc1)=O,CC(C)(C)CC(NC(Cc1ccccc1)C([Hg])=O)=O,CC(C)(C)CC(N(CCc1ccccc1)[Hg])=O
8,CC(CC(C)(C)C)CC(NC(Cc1ccccc1)C(O)=O)=O,CC(CC(C)(C)C)CC(NCCc1ccccc1)=O,CC(CC(C)(C)C)CC(NC(Cc1ccccc1)C([Hg])=O)=O,CC(CC(C)(C)C)CC(N(CCc1ccccc1)[Hg])=O
9,OC(C(Cc1ccccc1)NC(Cc(cccc1)c1OC(F)(F)F)=O)=O,O=C(Cc(cccc1)c1OC(F)(F)F)NCCc1ccccc1,O=C(Cc(cccc1)c1OC(F)(F)F)NC(Cc1ccccc1)C([Hg])=O,O=C(Cc(cccc1)c1OC(F)(F)F)N(CCc1ccccc1)[Hg]
10,CC(CC(NC(Cc1ccccc1)C(O)=O)=O)C=C,CC(CC(NCCc1ccccc1)=O)C=C,CC(CC(NC(Cc1ccccc1)C([Hg])=O)=O)C=C,CC(CC(N(CCc1ccccc1)[Hg])=O)C=C
11,CC(C)([C@H](CC(NC(Cc1ccccc1)C(O)=O)=O)C1)[C@@H]1C(C)=O,CC(C)([C@H](CC(NCCc1ccccc1)=O)C1)[C@@H]1C(C)=O,CC(C)([C@H](CC(NC(Cc1ccccc1)C([Hg])=O)=O)C1)[C@@H]1C(C)=O,CC(C)([C@H](CC(N(CCc1ccccc1)[Hg])=O)C1)[C@@H]1C(C)=O
12,CC(CCC(NC(Cc1ccccc1)C(O)=O)=O)=O,CC(CCC(NCCc1ccccc1)=O)=O,CC(CCC(NC(Cc1ccccc1)C([Hg])=O)=O)=O,CC(CCC(N(CCc1ccccc1)[Hg])=O)=O
13,CCCCC(NC(Cc1ccccc1)C(O)=O)=O,CCCCC(NCCc1ccccc1)=O,CCCCC(NC(Cc1ccccc1)C([Hg])=O)=O,CCCCC(N(CCc1ccccc1)[Hg])=O
14,C=CCCC(NC(Cc1ccccc1)C(O)=O)=O,C=CCCC(NCCc1ccccc1)=O,C=CCCC(NC(Cc1ccccc1)C([Hg])=O)=O,C=CCCC(N(CCc1ccccc1)[Hg])=O
