SMILES_BB,SMILES_0,SMILES_1,SMILES_2,SMILES_3,SMILES_4,SMILES_5,SMILES_6,SMILES_7,SMILES_8,SMILES_9
CC(C)CC([Hg])=O,CC(C)CC(NC(C)C([Hg])=O)=O,CCN(CCC([Hg])=O)C(CC(C)C)=O,CC(C)CC(NC1(COC1)C([Hg])=O)=O,CC(C)CC(N(CCC1)C1C([Hg])=O)=O,CC(C)CC(N(CC1)CCC1C([Hg])=O)=O,CC(C)CC(N(CCN(C)C1)C1C([Hg])=O)=O,CC(C)CC(N(CC([Hg])=O)c1ccc[o]1)=O,CC(C)CC(Nc(cc1)ccc1C([Hg])=O)=O,CC(C)CC(NC(Cc1ccccc1)C([Hg])=O)=O,CC(C)CC(NCc1cccc(CC([Hg])=O)c1)=O
CC/C=C\CC([Hg])=O,CC/C=C\CC(NC(C)C([Hg])=O)=O,CC/C=C\CC(N(CC)CCC([Hg])=O)=O,CC/C=C\CC(NC1(COC1)C([Hg])=O)=O,CC/C=C\CC(N(CCC1)C1C([Hg])=O)=O,CC/C=C\CC(N(CC1)CCC1C([Hg])=O)=O,CC/C=C\CC(N(CCN(C)C1)C1C([Hg])=O)=O,CC/C=C\CC(N(CC([Hg])=O)c1ccc[o]1)=O,CC/C=C\CC(Nc(cc1)ccc1C([Hg])=O)=O,CC/C=C\CC(NC(Cc1ccccc1)C([Hg])=O)=O,CC/C=C\CC(NCc1cccc(CC([Hg])=O)c1)=O
CCC(C)CC([Hg])=O,CCC(C)CC(NC(C)C([Hg])=O)=O,CCC(C)CC(N(CC)CCC([Hg])=O)=O,CCC(C)CC(NC1(COC1)C([Hg])=O)=O,CCC(C)CC(N(CCC1)C1C([Hg])=O)=O,CCC(C)CC(N(CC1)CCC1C([Hg])=O)=O,CCC(C)CC(N(CCN(C)C1)C1C([Hg])=O)=O,CCC(C)CC(N(CC([Hg])=O)c1ccc[o]1)=O,CCC(C)CC(Nc(cc1)ccc1C([Hg])=O)=O,CCC(C)CC(NC(Cc1ccccc1)C([Hg])=O)=O,CCC(C)CC(NCc1cccc(CC([Hg])=O)c1)=O
CC(C)CCC([Hg])=O,CC(C)CCC(NC(C)C([Hg])=O)=O,CCN(CCC([Hg])=O)C(CCC(C)C)=O,CC(C)CCC(NC1(COC1)C([Hg])=O)=O,CC(C)CCC(N(CCC1)C1C([Hg])=O)=O,CC(C)CCC(N(CC1)CCC1C([Hg])=O)=O,CC(C)CCC(N(CCN(C)C1)C1C([Hg])=O)=O,CC(C)CCC(N(CC([Hg])=O)c1ccc[o]1)=O,CC(C)CCC(Nc(cc1)ccc1C([Hg])=O)=O,CC(C)CCC(NC(Cc1ccccc1)C([Hg])=O)=O,CC(C)CCC(NCc1cccc(CC([Hg])=O)c1)=O
O=C(CC1CCCC1)[Hg],CC(C([Hg])=O)NC(CC1CCCC1)=O,CCN(CCC([Hg])=O)C(CC1CCCC1)=O,O=C(CC1CCCC1)NC1(COC1)C([Hg])=O,O=C(CC1CCCC1)N(CCC1)C1C([Hg])=O,O=C(CC1CCCC1)N(CC1)CCC1C([Hg])=O,CN(CC1)CC(C([Hg])=O)N1C(CC1CCCC1)=O,O=C(CC1CCCC1)N(CC([Hg])=O)c1ccc[o]1,O=C(CC1CCCC1)Nc(cc1)ccc1C([Hg])=O,O=C(CC1CCCC1)NC(Cc1ccccc1)C([Hg])=O,O=C(CC1CCCC1)NCc1cccc(CC([Hg])=O)c1
O=C(CCC1CCCC1)[Hg],CC(C([Hg])=O)NC(CCC1CCCC1)=O,CCN(CCC([Hg])=O)C(CCC1CCCC1)=O,O=C(CCC1CCCC1)NC1(COC1)C([Hg])=O,O=C(CCC1CCCC1)N(CCC1)C1C([Hg])=O,O=C(CCC1CCCC1)N(CC1)CCC1C([Hg])=O,CN(CC1)CC(C([Hg])=O)N1C(CCC1CCCC1)=O,O=C(CCC1CCCC1)N(CC([Hg])=O)c1ccc[o]1,O=C(CCC1CCCC1)Nc(cc1)ccc1C([Hg])=O,O=C(CCC1CCCC1)NC(Cc1ccccc1)C([Hg])=O,O=C(CCC1CCCC1)NCc1cccc(CC([Hg])=O)c1
O=C(CC1CCCCC1)[Hg],CC(C([Hg])=O)NC(CC1CCCCC1)=O,CCN(CCC([Hg])=O)C(CC1CCCCC1)=O,O=C(CC1CCCCC1)NC1(COC1)C([Hg])=O,O=C(CC1CCCCC1)N(CCC1)C1C([Hg])=O,O=C(CC1CCCCC1)N(CC1)CCC1C([Hg])=O,CN(CC1)CC(C([Hg])=O)N1C(CC1CCCCC1)=O,O=C(CC1CCCCC1)N(CC([Hg])=O)c1ccc[o]1,O=C(CC1CCCCC1)Nc(cc1)ccc1C([Hg])=O,O=C(CC1CCCCC1)NC(Cc1ccccc1)C([Hg])=O,O=C(CC1CCCCC1)NCc1cccc(CC([Hg])=O)c1
CC(C)(C)CC([Hg])=O,CC(C([Hg])=O)NC(CC(C)(C)C)=O,CCN(CCC([Hg])=O)C(CC(C)(C)C)=O,CC(C)(C)CC(NC1(COC1)C([Hg])=O)=O,CC(C)(C)CC(N(CCC1)C1C([Hg])=O)=O,CC(C)(C)CC(N(CC1)CCC1C([Hg])=O)=O,CC(C)(C)CC(N(CCN(C)C1)C1C([Hg])=O)=O,CC(C)(C)CC(N(CC([Hg])=O)c1ccc[o]1)=O,CC(C)(C)CC(Nc(cc1)ccc1C([Hg])=O)=O,CC(C)(C)CC(NC(Cc1ccccc1)C([Hg])=O)=O,CC(C)(C)CC(NCc1cccc(CC([Hg])=O)c1)=O
CC(CC(C)(C)C)CC([Hg])=O,CC(CC(C)(C)C)CC(NC(C)C([Hg])=O)=O,CCN(CCC([Hg])=O)C(CC(C)CC(C)(C)C)=O,CC(CC(C)(C)C)CC(NC1(COC1)C([Hg])=O)=O,CC(CC(C)(C)C)CC(N(CCC1)C1C([Hg])=O)=O,CC(CC(C)(C)C)CC(N(CC1)CCC1C([Hg])=O)=O,CC(CC(C)(C)C)CC(N(CCN(C)C1)C1C([Hg])=O)=O,CC(CC(C)(C)C)CC(N(CC([Hg])=O)c1ccc[o]1)=O,CC(CC(C)(C)C)CC(Nc(cc1)ccc1C([Hg])=O)=O,CC(CC(C)(C)C)CC(NC(Cc1ccccc1)C([Hg])=O)=O,CC(CC(C)(C)C)CC(NCc1cccc(CC([Hg])=O)c1)=O
O=C(Cc(cccc1)c1OC(F)(F)F)[Hg],CC(C([Hg])=O)NC(Cc(cccc1)c1OC(F)(F)F)=O,CCN(CCC([Hg])=O)C(Cc(cccc1)c1OC(F)(F)F)=O,O=C(Cc(cccc1)c1OC(F)(F)F)NC1(COC1)C([Hg])=O,O=C(Cc(cccc1)c1OC(F)(F)F)N(CCC1)C1C([Hg])=O,O=C(Cc(cccc1)c1OC(F)(F)F)N(CC1)CCC1C([Hg])=O,CN(CC1)CC(C([Hg])=O)N1C(Cc(cccc1)c1OC(F)(F)F)=O,O=C(Cc(cccc1)c1OC(F)(F)F)N(CC([Hg])=O)c1ccc[o]1,O=C(Cc(cccc1)c1OC(F)(F)F)Nc(cc1)ccc1C([Hg])=O,O=C(Cc(cccc1)c1OC(F)(F)F)NC(Cc1ccccc1)C([Hg])=O,O=C(Cc(cccc1)c1OC(F)(F)F)NCc1cccc(CC([Hg])=O)c1
