"Position","SMILES_Structure","SMILES_Scaffold"
"6","O=C(c1cc([s]cc2)c2cc1)[Hg]","c1c[s]c2c1cccc2"
"3","O=C(c1c[s]c2c1cccc2)[Hg]","c1c[s]c2c1cccc2"
"2","O=C(c1cc(cccc2)c2[s]1)[Hg]","c1c[s]c2c1cccc2"
"5","O=C(c(cc1)cc2c1[s]cc2)[Hg]","c1c[s]c2c1cccc2"
"7","O=C(c1c2[s]ccc2ccc1)[Hg]","c1c[s]c2c1cccc2"
"4","O=C(c1c(cc[s]2)c2ccc1)[Hg]","c1c[s]c2c1cccc2"
"6","O=C(c1cc([o]cc2)c2cc1)[Hg]","c1c[o]c2c1cccc2"
"3","O=C(c1c[o]c2c1cccc2)[Hg]","c1c[o]c2c1cccc2"
"2","O=C(c1cc(cccc2)c2[o]1)[Hg]","c1c[o]c2c1cccc2"
"5","O=C(c(cc1)cc2c1[o]cc2)[Hg]","c1c[o]c2c1cccc2"
"7","O=C(c1c2[o]ccc2ccc1)[Hg]","c1c[o]c2c1cccc2"
"4","O=C(c1c(cc[o]2)c2ccc1)[Hg]","c1c[o]c2c1cccc2"
"6","O=C(c1cc([nH]cc2)c2cc1)[Hg]","c1c[nH]c2c1cccc2"
"3","O=C(c1c[nH]c2c1cccc2)[Hg]","c1c[nH]c2c1cccc2"
"2","O=C(c1cc(cccc2)c2[nH]1)[Hg]","c1c[nH]c2c1cccc2"
"5","O=C(c(cc1)cc2c1[nH]cc2)[Hg]","c1c[nH]c2c1cccc2"
"7","O=C(c1c2[nH]ccc2ccc1)[Hg]","c1c[nH]c2c1cccc2"
"4","O=C(c1c(cc[nH]2)c2ccc1)[Hg]","c1c[nH]c2c1cccc2"
"6","Cc1c[s]c2c1ccc(C([Hg])=O)c2","Cc1c[s]c2c1cccc2"
"2","Cc1c(C([Hg])=O)[s]c2c1cccc2","Cc1c[s]c2c1cccc2"
"5","Cc1c[s]c(cc2)c1cc2C([Hg])=O","Cc1c[s]c2c1cccc2"
"7","Cc(c1ccc2)c[s]c1c2C([Hg])=O","Cc1c[s]c2c1cccc2"
"4","Cc1c[s]c2cccc(C([Hg])=O)c12","Cc1c[s]c2c1cccc2"
"6","Cc1cc(ccc(C([Hg])=O)c2)c2[s]1","Cc1cc(cccc2)c2[s]1"
"3","Cc1c(C([Hg])=O)c(cccc2)c2[s]1","Cc1cc(cccc2)c2[s]1"
"5","Cc1cc(cc(cc2)C([Hg])=O)c2[s]1","Cc1cc(cccc2)c2[s]1"
"7","Cc1cc2cccc(C([Hg])=O)c2[s]1","Cc1cc(cccc2)c2[s]1"
"4","Cc([s]c1ccc2)cc1c2C([Hg])=O","Cc1cc(cccc2)c2[s]1"
"6","Cc1c[o]c2c1ccc(C([Hg])=O)c2","Cc1c[o]c2c1cccc2"
"2","Cc1c(C([Hg])=O)[o]c2c1cccc2","Cc1c[o]c2c1cccc2"
"5","Cc1c[o]c(cc2)c1cc2C([Hg])=O","Cc1c[o]c2c1cccc2"
"7","Cc(c1ccc2)c[o]c1c2C([Hg])=O","Cc1c[o]c2c1cccc2"
"4","Cc1c[o]c2cccc(C([Hg])=O)c12","Cc1c[o]c2c1cccc2"
"5","Cc1cc(ccc(C([Hg])=O)c2)c2[o]1","Cc1cc(cccc2)c2[o]1"
"3","Cc1c(C([Hg])=O)c(cccc2)c2[o]1","Cc1cc(cccc2)c2[o]1"
"5","Cc1cc(cc(cc2)C([Hg])=O)c2[o]1","Cc1cc(cccc2)c2[o]1"
"7","Cc1cc2cccc(C([Hg])=O)c2[o]1","Cc1cc(cccc2)c2[o]1"
"4","Cc([o]c1ccc2)cc1c2C([Hg])=O","Cc1cc(cccc2)c2[o]1"
"6","Cc1c[nH]c2c1ccc(C([Hg])=O)c2","Cc1c[nH]c2c1cccc2"
"2","Cc1c(C([Hg])=O)[nH]c2c1cccc2","Cc1c[nH]c2c1cccc2"
"5","Cc1c[nH]c(cc2)c1cc2C([Hg])=O","Cc1c[nH]c2c1cccc2"
"7","Cc(c1ccc2)c[nH]c1c2C([Hg])=O","Cc1c[nH]c2c1cccc2"
"4","Cc1c[nH]c2cccc(C([Hg])=O)c12","Cc1c[nH]c2c1cccc2"
"6","Cc1cc(ccc(C([Hg])=O)c2)c2[nH]1","Cc1cc(cccc2)c2[nH]1"
"3","Cc1c(C([Hg])=O)c(cccc2)c2[nH]1","Cc1cc(cccc2)c2[nH]1"
"5","Cc1cc(cc(cc2)C([Hg])=O)c2[nH]1","Cc1cc(cccc2)c2[nH]1"
"7","Cc1cc2cccc(C([Hg])=O)c2[nH]1","Cc1cc(cccc2)c2[nH]1"
"4","Cc([nH]c1ccc2)cc1c2C([Hg])=O","Cc1cc(cccc2)c2[nH]1"
"7","O=C(c1c2[s]ccc2ccc1)[Hg]","c1c[s]c2c1cccc2"
"6","O=C(c1cc([nH]nc2)c2cc1)[Hg]","c1n[nH]c2c1cccc2"
"3","O=C(c1c[nH]c2c1cncc2)[Hg]","c1c[nH]c2c1cncc2"
"6","O=C(c1cc2ncc[n]2cc1)[Hg]","c1cnc2[n]1cccc2"
"3","O=C(c1c[nH]c2c1cccn2)[Hg]","c1c[nH]c2ncccc12"
